[2018-09-10 20:31:45] |      DriverLayer.cpp-L0552: device speed: [4]
[2018-09-10 20:31:45] |    DeviceControl.cpp-L1437: AcquisitionStart Execute Success 
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:50] |    StreamProcess.cpp-L1471: delete one DataNode
